Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/C03.bmp,174.04,85.0,23.0,91.0
../imgs/C03.bmp,174.1,85.02,23.09,91.0
../imgs/C03.bmp,174.21,85.11,23.12,91.0
../imgs/C03.bmp,174.14,85.1,23.19,91.0
../imgs/C03.bmp,174.08,85.07,23.13,91.0
../imgs/C03.bmp,174.16,85.1,23.24,91.0
../imgs/C03.bmp,174.07,85.02,23.27,91.0
../imgs/C03.bmp,174.42,85.0,23.44,91.0
../imgs/C03.bmp,174.08,85.88,23.29,91.0
../imgs/C03.bmp,174.06,85.15,23.27,91.0
../imgs/C03.bmp,174.3,85.22,23.37,91.0
../imgs/C03.bmp,174.45,85.45,23.15,91.0
../imgs/C03.bmp,174.15,85.0,23.18,91.0
../imgs/C03.bmp,174.12,85.44,23.17,91.0
../imgs/C03.bmp,174.53,85.3,23.22,91.0
../imgs/C03.bmp,174.8,85.5,23.6,91.0
../imgs/C03.bmp,174.59,85.47,23.42,91.0
../imgs/C03.bmp,174.73,85.54,23.4,91.0
../imgs/C03.bmp,174.06,85.08,23.36,91.0
../imgs/C03.bmp,174.04,85.61,23.01,91.0
../imgs/C03.bmp,174.58,85.82,23.17,91.0
../imgs/C03.bmp,174.01,85.19,23.02,91.0
../imgs/C03.bmp,174.29,85.15,23.03,91.0
../imgs/C03.bmp,174.43,85.12,23.14,91.0
../imgs/C03.bmp,174.39,85.0,23.04,91.0
../imgs/C03.bmp,174.06,85.42,23.08,91.0
../imgs/C03.bmp,174.27,85.12,23.12,91.0
../imgs/C03.bmp,174.06,85.8,23.16,91.0
../imgs/C03.bmp,174.44,85.1,23.02,91.0
../imgs/C03.bmp,174.0,85.5,23.05,91.0
../imgs/C03.bmp,174.56,85.17,23.66,91.0
../imgs/C03.bmp,174.05,85.46,23.05,91.0
../imgs/C03.bmp,174.0,85.0,23.09,91.0
../imgs/C03.bmp,174.13,85.42,23.13,91.0
../imgs/C03.bmp,174.24,85.37,23.03,91.0
../imgs/C03.bmp,174.5,85.23,23.5,91.0
../imgs/C03.bmp,174.0,85.13,23.21,91.0
../imgs/C03.bmp,174.12,85.5,23.13,91.0
../imgs/C03.bmp,174.73,85.23,23.38,91.0
../imgs/C03.bmp,174.68,85.32,23.27,91.0
../imgs/C03.bmp,174.02,85.14,23.34,91.0
../imgs/C03.bmp,174.16,85.28,23.17,91.0
../imgs/C03.bmp,174.39,85.0,23.04,91.0
../imgs/C03.bmp,174.44,85.25,23.25,91.0
../imgs/C03.bmp,174.21,85.0,23.14,91.0
../imgs/C03.bmp,174.04,85.06,23.14,91.0
../imgs/C03.bmp,174.34,85.51,23.27,91.0
../imgs/C03.bmp,174.11,85.48,23.48,91.0
../imgs/C03.bmp,174.38,85.05,23.05,91.0
../imgs/C03.bmp,174.0,85.03,23.35,91.0
../imgs/C03.bmp,174.14,85.01,23.33,91.0
../imgs/C03.bmp,174.0,85.11,23.31,91.0
../imgs/C03.bmp,174.29,85.36,23.34,91.0
../imgs/C04.bmp,174.23,85.41,23.23,91.0
../imgs/C04.bmp,199.5,78.43,48.49,65.0
../imgs/C04.bmp,174.45,85.04,23.18,91.0
../imgs/C04.bmp,174.05,85.08,23.28,91.0
../imgs/C04.bmp,174.26,85.26,23.26,91.0
../imgs/C04.bmp,174.5,85.0,23.05,91.0
../imgs/C04.bmp,174.29,85.19,23.13,91.0
../imgs/C04.bmp,174.65,85.39,23.33,91.0
../imgs/C04.bmp,96.24,130.02,55.96,67.0
../imgs/C04.bmp,174.13,85.1,23.43,91.0
../imgs/C04.bmp,174.53,85.32,23.59,91.0
../imgs/C04.bmp,174.11,85.08,23.13,91.0
../imgs/C04.bmp,174.01,85.01,23.33,91.0
../imgs/C04.bmp,174.7,85.55,23.71,91.0
../imgs/C04.bmp,174.25,85.67,23.78,91.0
../imgs/C04.bmp,174.08,85.31,23.08,91.0
../imgs/C04.bmp,174.65,85.22,23.69,91.0
../imgs/C04.bmp,174.29,85.49,23.55,91.0
../imgs/C04.bmp,96.45,130.56,55.62,67.0
../imgs/C04.bmp,174.1,85.13,23.27,91.0
../imgs/C04.bmp,174.43,85.29,23.35,91.0
../imgs/C04.bmp,174.53,85.02,23.08,91.0
../imgs/C04.bmp,96.22,130.85,55.87,67.0
../imgs/C04.bmp,96.89,130.74,55.96,67.0
../imgs/C04.bmp,174.5,85.5,23.51,91.0
../imgs/C04.bmp,174.19,85.12,23.46,91.0
../imgs/C04.bmp,174.25,85.19,23.11,91.0
../imgs/C04.bmp,174.49,85.08,23.06,91.0
../imgs/C04.bmp,174.18,85.1,23.01,91.0
../imgs/C04.bmp,174.7,85.07,23.11,91.0
../imgs/C04.bmp,174.5,85.5,23.51,91.0
../imgs/C04.bmp,174.7,85.07,23.11,91.0
../imgs/C04.bmp,199.93,78.07,48.32,65.0
../imgs/C04.bmp,174.14,85.24,23.0,91.0
../imgs/C04.bmp,174.47,85.04,23.09,91.0
../imgs/C04.bmp,174.39,85.1,23.15,91.0
../imgs/C04.bmp,199.81,78.75,48.86,65.0
../imgs/C04.bmp,174.19,85.26,23.33,91.0
../imgs/C04.bmp,174.1,85.0,23.1,91.0
../imgs/C04.bmp,174.37,85.03,23.12,91.0
